author,author_lat,lang,geo,erme_geo,birth_date,comment
"Липатов, Степан Ильич",,mdf,с. Самозлейка_Рыбкинского/Ковылкинский район,|Mdf:Som;RU;54.310946;43.893131|,19381210_,
"Лобанов, Виктор Михайлович",,mdf,с. Паёва_Инсарский район,|Mdf:Pa;RU;54.016667;44.216667|,19500??0_,
"Лукьянов, Алексей Миронович",,myv,с. Красные Ключи_Похвистневский район,|Myv:SamO_KrasnyeKljuchi;RU;53.573056;51.9125|,19100315_19910224,
"Лукьянов, Михаил ???",,myv,,,,
"Луньков, Василий ???",,mdf,с. ХХ_ХХ район,|Mdf:_;RU;_;_|,19??0??0_,
"Любаев, Павел Кириллович",,myv,с. Пикшень_Большеболдинский район,|Myv:NNO_Pishenj;RU;54.983333;45.375278|,19191224_,
"Любимкин, Данил ???",,mdf,с. ХХ_ХХ район,|Mdf:_;RU;_;_|,19??0??0_,
"Люлякина, Серафима Марковна",,myv,с. Подбелск_ПоПохвистневский район,|Myv:SamO_Подбелск;RU;53.602222;51.803333|,19220729_19930117,
"Макулов, Леонид Фёдорович",,mdf,с. Перхляй_Рузаевский район,|Mdf:Perchl;RU;54.186221;44.909683|,19070717_19820803,
"Макушкин, Виктор Миронович",,mdf,с. Паёво_Кадошкинский район,|Mdf:MR_Poj;RU;54.016667;44.216667|,19401230_,
"Малкин, Иван Леонтьевич",,myv,с. Дубёнка_Дубёнский район,|Myv:MR_DubinkaDubinka;RU;54.437222;46.301111|,19110000_19390000,
"Малькин, Александр Степанович",,mdf,с. Кишалы_Атюревский район,|Mdf:MR_Kiš;RU;54.375135;43.200782|,19230526_19760528,
"Мартынов, Александр Константинович",,myv,с. Синенькие_Петровский район,|Myv:SarO_Sin;RU;52.324124;45.578155|,19130208_19891130,
"Маскаев, Андрей Иванович",,mdf,с. Вяжга_Теньгушевский район,|Mdf:MR_TengushVjazhga;RU;54.695833;42.733889|,,
"Мезякаев, Алексей Дмитриевич",,mdf,с. Темяшево_Старошайговский район,|Mdf:MR_Temjashevo;RU;54.527222;44.626111|,19240230_19730230,(only years:Мокшень правда 1997-04-26:3)
"Меркушкин, Григорий Яковлевич",,mdf,с. Новые Верхиссы_Инсарский район,|Mdf:MR_StVerkhissy;RU;53.865;44.54|,19171123_19790113,
"Милакина, Прасковья Филипповна",,mdf,с. Салазгорь_Торбеевский район,|Mdf:Sal;RU;54.121872;43.679045|,19??0??0_,
"Митякин, Дмитрий Селиверстович",,myv,с. Новые Турдаки_Кочкуровский район,|Myv:MR_NTurdaki;RU;53.901833;45.353000|,19240920_19,
"Мишанина, Валентина Ивановна",,mdf,с. Адашево_Инсарский/Кадошкинский район,|Mdf:Adaš;RU;54.6710;44.319669|,19501125_,
"Моисеев, Михаил Степанович",,mdf,с. Старые Пичуры_Торбеевский район,|Mdf:MR_StPichury;RU;54.005;43.475|,19391017_,
"Мокшин, Николай Фёдорович",,myv,с. Иванцево_Лукояновский район,|Myv:Ivanc;RU;54.995085;44.384303|,19360622_,
"Мокшони, Алексей Ильич",,mdf,с. Лопатино_Торбеевский район,|Mdf:Lopatino;RU;54.001333;43.109833|,18980221_1972,(Кочетков)
"Моро, Артур Матвеевич",,myv,с. Красные Ключи_Похвистиеский район,|Myv:SamO_KrasnyeKljuchi;RU;53.573056;51.9125|,19090511_19890113,(>Осипов, Афанасий Матвеевич)
"Моськин, Иван ???",,mdf,с. ХХ_ХХ район,|Mdf:_;RU;_;_|,19??0??0_,
"Моторкин, Михаил Васильевич",,myv,с. Пилесево_Атяшевский район,|Myv:MR_Pilesevo;RU;54.712778;45.946111|,19370125_,
"Надёшкин, Иван ???",,mdf,с. ХХ_ХХ район,|Mdf:_;RU;_;_|,19??0??0_,
"Надькин, Дмитрий Тимофеевич",,myv,с. Иванцево_Лукояновский район,|Myv:Ivanc;RU;54.995085;44.384303|,19340528_19920715,
"Наумкин, Николай Трифонвич",,myv,с. Кочкурово_Дубёнский район,|Myv:MR_DubinkaKochkur;RU;54.426667;46.136389|,19400106_19950308,
"Немкин, Андрей Владимирович",,myv,с. Большой Толкай_Похвистневский район,|Myv:BolʹšojTolkaj;RU;53.476333;51.951|,19140?0?_??,
"Нестеров, Владимир Иосифович",,mdf,с. Анаево_Зубово-Полянский район,|Mdf:MR_ZubuAnajevo;RU;54.235278;42.563889|,19601007_,
"Норкин, Александр Николаевич",,mdf,с. Куликовка_Кадошкинский район,|Mdf:Kul;RU;54.064763;44.552953|,19270??0_,
"Носиков, Иван Васильевич",,mdf,с. Адашево_Инсарский/Кадошкинский район,|Mdf:Adaš;RU;54.6710;44.319669|,19590904_,
"Нуянзин, Иван ???",,myv,,,,
"Облаков, Алексей ???",,mdf,с. ХХ_ХХ район,|Mdf:_;RU;_;_|,19??0??0_,
"Объедкин, Виктор Дмитриевич",,myv,с. Старие Турдаки_Кочкуровский район,|Myv:MR_StTurdaki;RU;53.916667;45.466667|,19301123_,
"Осьмухин, Иван Григорьевич",,myv,д. Новая Николаевка_Старошайговский район,|Mdf:MR_;RU;54.351944;44.647222|,19110821_19880827,
"Пальтин, Юрий Михайлович",,myv,с. Поводимово_Дубёнский район,|Myv:MR_Povodimovo;RU;54.466667;46.316667|,19680920_,
